Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2110000,0.010033331,44313.5,5474.0,0.67065465,311.0000035427511,311.0000035427511,0.024780871,0.06443752,0.0002873681,1.0
2120000,0.008477948,None,5496.0,0.6904331,None,None,0.019720094,0.07070945,0.0002873111,1.0
2130000,0.011345381,None,5520.0,0.69069725,None,None,0.01662561,0.0718565,0.0002872535,1.0
2140000,0.010371609,None,5544.0,0.70210534,None,None,0.019127894,0.06815713,0.00028718967,1.0
2150000,0.013041132,None,5574.0,0.7196593,None,None,0.016251255,0.06952336,0.0002871262,1.0
2160000,0.009660764,None,5599.0,0.69264936,None,None,0.016392475,0.07370007,0.00028706877,1.0
2170000,0.009733216,None,5628.0,0.6875688,None,None,0.0151659455,0.067464426,0.00028701138,1.0
2180000,0.010816585,None,5655.0,0.7042042,None,None,0.018620292,0.07106805,0.00028694753,1.0
2190000,0.011541003,None,5677.0,0.7278003,None,None,0.020488648,0.07002575,0.00028689022,1.0
2200000,0.008444917,None,5710.0,0.73589677,None,None,0.017146258,0.06783012,0.00028683295,1.0
2210000,0.008568326,None,5738.0,0.7089352,None,None,0.014352056,0.06565745,0.00028676938,1.0
2220000,0.010167654,None,5772.0,0.66482896,None,None,0.013947876,0.07103403,0.0002867111,1.0
2230000,0.008476471,None,5796.0,0.6481504,None,None,0.01515122,0.06645755,0.0002866537,1.0
2240000,0.007645871,None,5825.0,0.66245985,None,None,0.017236555,0.063232996,0.00028658996,1.0
2250000,0.008798747,None,5853.0,0.66029614,None,None,0.017501703,0.06695369,0.00028652637,1.0
2260000,0.011221993,None,5883.0,0.6826576,None,None,0.016711414,0.07251139,0.00028646935,1.0
2270000,0.008255165,43817.0,5908.0,0.6998715,298.70000399649143,298.70000399649143,0.019884804,0.071266465,0.00028641237,1.0
2280000,0.009108776,None,5932.0,0.6995909,None,None,0.016792547,0.06456916,0.00028634872,1.0
2290000,0.009502319,None,5958.0,0.7037636,None,None,0.019339724,0.07245103,0.0002862916,1.0
2300000,0.009849787,None,5981.0,0.7097305,None,None,0.01695281,0.07380024,0.0002862339,1.0
